Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47640010  	 6.47640064 
1.01285714  	 6.65901280  	 6.65901323 
1.01571429  	 6.81906197  	 6.81906235 
1.01857143  	 6.96125186  	 6.96125220 
1.02142857  	 7.08862111  	 7.08862140 
1.02428571  	 7.20327889  	 7.20327915 
1.02457142  	 7.21410731  	 7.21410785 
1.02489796  	 7.22634807  	 7.22634829 
1.02522449  	 7.23844614  	 7.23844636 
1.02555102  	 7.25040334  	 7.25040355 
1.02587755  	 7.26222162  	 7.26222183 
1.02620408  	 7.27390246  	 7.27390267 
1.02653061  	 7.28544753  	 7.28544774 
1.02685715  	 7.29685862  	 7.29685883 
1.02714286  	 7.30673360  	 7.30673383 
1.03000000  	 7.40009693  	 7.40009791 
1.03285714  	 7.48422798  	 7.48422883 
1.03571429  	 7.55984813  	 7.55984886 
1.03857143  	 7.62761383  	 7.62761446 
1.04142857  	 7.68817276  	 7.68817329 
1.04428571  	 7.74217758  	 7.74217802 
1.04714286  	 7.79028573  	 7.79028610 
1.05000000  	 7.83314484  	 7.83314514 
