Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47419563  	 6.47419833 
1.01333333  	 6.65311246  	 6.65311516 
1.01444444  	 6.70439100  	 6.70439400 
1.01666667  	 6.79699769  	 6.79700039 
1.01888889  	 6.87850800  	 6.87851100 
1.01933333  	 6.89367023  	 6.89367077 
1.01984127  	 6.91057345  	 6.91057376 
1.02000000  	 6.91576576  	 6.91576846 
1.02034921  	 6.92704364  	 6.92704395 
1.02085714  	 6.94309911  	 6.94309942 
1.02136508  	 6.95875711  	 6.95875741 
1.02187301  	 6.97403415  	 6.97403444 
1.02238095  	 6.98894580  	 6.98894609 
1.02288889  	 7.00350642  	 7.00350670 
1.02333333  	 7.01596956  	 7.01597227 
1.02666667  	 7.10203264  	 7.10203534 
1.02777778  	 7.12814000  	 7.12814300 
1.03000000  	 7.17703822  	 7.17704092 
1.03222222  	 7.22201400  	 7.22201700 
1.03333333  	 7.24319132  	 7.24319403 
1.03666667  	 7.30212409  	 7.30212679 
1.04000000  	 7.35506603  	 7.35506873 
1.04111111  	 7.37155300  	 7.37155600 
1.04555556  	 7.43247600  	 7.43247900 
1.05000000  	 7.48648600  	 7.48648900 
