logMdot 	 Edot/LEdd    	 log10(Ts)   
17.20   	 1.01446557  	 7.19230774 
17.30   	 1.01544484  	 7.23789333 
17.40   	 1.01656532  	 7.27674285 
17.50   	 1.01782253  	 7.30782424 
17.60   	 1.01919157  	 7.33071953 
17.70   	 1.02062427  	 7.34552123 
17.80   	 1.02205242  	 7.35257547 
17.90   	 1.02339596  	 7.35227927 
18.00   	 1.02457352  	 7.34498182 
18.10   	 1.02551338  	 7.33095843 
18.20   	 1.02615956  	 7.31043118 
18.30   	 1.02647802  	 7.28359494 
18.40   	 1.02645795  	 7.25066097 
18.50   	 1.02611316  	 7.21195378 
18.60   	 1.02549342  	 7.16838382 
18.70   	 1.02470712  	 7.12222433 
18.80   	 1.02385945  	 7.07553292 
18.90   	 1.02302492  	 7.02960034 
19.00   	 1.02226444  	 6.98556238 
