logMdot 	 Edot/LEdd    	 log10(Ts)   
17.20   	 1.01695496  	 7.28676508 
17.30   	 1.01817119  	 7.32052547 
17.40   	 1.01951800  	 7.34619014 
17.50   	 1.02095997  	 7.36406817 
17.60   	 1.02244057  	 7.37467884 
17.70   	 1.02388780  	 7.37851054 
17.80   	 1.02522285  	 7.37592773 
17.90   	 1.02636908  	 7.36716784 
18.00   	 1.02726137  	 7.35237007 
18.10   	 1.02785011  	 7.33162230 
18.20   	 1.02810633  	 7.30499462 
18.30   	 1.02802172  	 7.27257458 
18.40   	 1.02760821  	 7.23449995 
18.50   	 1.02689679  	 7.19103213 
18.60   	 1.02594447  	 7.14288756 
18.70   	 1.02485900  	 7.09206466 
18.80   	 1.02375484  	 7.04085491 
18.90   	 1.02270369  	 6.99063123 
19.00   	 1.02175794  	 6.94247988 
