Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.00900000  	 6.43348192  	 6.43348800 
1.01000000  	 6.53028160  	 6.53028768 
1.01005556  	 6.53591466  	 6.53591967 
1.01111111  	 6.65261983  	 6.65262451 
1.01216666  	 6.81174435  	 6.81174866 
1.01222222  	 6.82286138  	 6.82286608 
1.01223222  	 6.82491232  	 6.82491840 
1.01247972  	 6.88198586  	 6.88198962 
1.01272722  	 6.95878717  	 6.95879075 
1.01297472  	 7.09133606  	 7.09133939 
1.01298472  	 7.09983776  	 7.09984384 
1.01299472  	 7.10886048  	 7.10886656 
1.01300472  	 7.11847904  	 7.11848512 
1.01301472  	 7.12880896  	 7.12881504 
1.01301572  	 7.12988512  	 7.12989120 
1.01301686  	 7.13112138  	 7.13112416 
1.01301801  	 7.13237813  	 7.13238091 
1.01301915  	 7.13363861  	 7.13364138 
1.01302029  	 7.13491112  	 7.13491389 
1.01302143  	 7.13619283  	 7.13619560 
1.01302258  	 7.13750029  	 7.13750306 
1.01302372  	 7.13880577  	 7.13880853 
1.01302472  	 7.13995968  	 7.13996576 
